"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般県道 温川田辺線　田辺市中辺路町水上(全面通行止)","","","一般県道 温川田辺線","田辺市中辺路町水上","田辺市中辺路町水上","","災害","全面通行止","上下","2021/05/24 11:00","未定","西牟婁建設部","法面崩壊","崩土","","","終日","","","","有","県道龍神中辺路線、国道311号、県道上富田南部線","","135.482207563199","33.8263355556598","通行止"
"一般県道 温川田辺線　田辺市中辺路町水上(全面通行止)","","","一般県道 温川田辺線","田辺市中辺路町水上","田辺市中辺路町水上","","災害","全面通行止","上下","2021/05/24 11:00","未定","西牟婁建設部","法面崩壊","崩土","","","終日","","","","有","県道龍神中辺路線、国道311号、県道上富田南部線","","135.483670455995","33.8245777514335","通行止"
"一般国道 169号　北山村下尾井(時間制限通行止)","","新宮建設部","一般国道 169号","北山村下尾井","北山村下尾井","","","時間制限通行止","上下","2021/06/01 22:00","2021/11/06 5:00","","","","土日祝除く","","時間規制","22:00～翌朝5:00","","","有","","","135.925362363126","33.9354269255455","通行止"
"一般国道 169号　北山村下尾井(時間制限通行止)","","新宮建設部","一般国道 169号","北山村下尾井","北山村下尾井","","","時間制限通行止","上下","2021/06/01 22:00","2021/11/06 5:00","","","","土日祝除く","","時間規制","22:00～翌朝5:00","","","有","","","135.926899169528","33.9375076570851","通行止"
"一般国道 424号　みなべ町清川(終日全面通行止（迂回路有り）)","","日高建設部","一般国道 424号","みなべ町清川","みなべ町清川","（株）清水組","","終日全面通行止（迂回路有り）","上下","2020/11/2","2021/08/29 17:00","","","","","","終日","","","","有","","","135.391215479794","33.8526237501522","通行止"
"一般国道 424号　みなべ町清川(終日全面通行止（迂回路有り）)","","日高建設部","一般国道 424号","みなべ町清川","みなべ町清川","（株）清水組","","終日全面通行止（迂回路有り）","上下","2020/11/2","2021/08/29 17:00","","","","","","終日","","","","有","","","135.391404463105","33.8524837690398","通行止"
"一般国道 371号　古座川町平井(時間制限通行止め及び重量制限（車両総重量５ｔ以上）)","","串本建設部","一般国道 371号","古座川町平井","古座川町平井","","","時間制限通行止め及び重量制限（車両総重量５ｔ以上）","上下","2020/12/01 9:00","2022/03/31 17:00","","","","日祝除く","","時間規制","9:00～10:00、10:15～12:00、13:00～14:40、14:55～17:00","緊急車両除く","","有","国道371号、町道佐田下露線、県道古座川熊野川線、町道下露平井線","","135.688768606149","33.6199668417826","通行止"
"一般国道 371号　古座川町平井(時間制限通行止め及び重量制限（車両総重量５ｔ以上）)","","串本建設部","一般国道 371号","古座川町平井","古座川町平井","","","時間制限通行止め及び重量制限（車両総重量５ｔ以上）","上下","2020/12/01 9:00","2022/03/31 17:00","","","","日祝除く","","時間規制","9:00～10:00、10:15～12:00、13:00～14:40、14:55～17:00","緊急車両除く","","有","国道371号、町道佐田下露線、県道古座川熊野川線、町道下露平井線","","135.688833613103","33.6207457475488","通行止"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町添野川","","災害","全面通行止","","2021/6/2","未定","串本建設部","路肩崩壊","","","","終日","","","","有","","","135.692493463616","33.6348121931239","通行止"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町添野川","","災害","全面通行止","","2021/6/2","未定","串本建設部","路肩崩壊","","","","終日","","","","有","","","135.685513840717","33.6031817083459","通行止"
"一般国道 168号　新宮市相賀(片側交互通行)","","新宮建設部","一般国道 168号","新宮市相賀","新宮市相賀","","","片側交互通行","上下","2020/03/16","2021/12/27","","","","","","終日","","","","無","","","135.937699595678","33.749653975701","片側規制"
"一般国道 168号　新宮市相賀(片側交互通行)","","新宮建設部","一般国道 168号","新宮市相賀","新宮市相賀","","","片側交互通行","上下","2020/03/16","2021/12/27","","","","","","終日","","","","無","","","135.938001613684","33.745726392949","片側規制"
"一般県道 生石公園線　有田川町彦ケ瀬(全面通行止)","","有田建設部","一般県道 生石公園線","有田川町彦ケ瀬","有田川町瀬井","株式会社木根電設","","全面通行止","上下","2021/06/14","2021/10/04","","","","","","終日","","","","有","","","135.29264354415","34.1140499834271","通行止"
"一般県道 生石公園線　有田川町彦ケ瀬(全面通行止)","","有田建設部","一般県道 生石公園線","有田川町彦ケ瀬","有田川町瀬井","株式会社木根電設","","全面通行止","上下","2021/06/14","2021/10/04","","","","","","終日","","","","有","","","135.292023607573","34.112307199008","通行止"
"一般県道 平瀬上三栖線　田辺市中辺路町西谷(通行止)","","西牟婁建設部","一般県道 平瀬上三栖線","田辺市中辺路町西谷","田辺市上野","株式会社タイリュウ建設","","通行止","上下","2021/07/01 8:00","2022/02/08 17:00","","","","","","終日","","","","有","国道311号、上野岩田線、上富田南部線","","135.480582932991","33.7732685927342","通行止"
"一般県道 平瀬上三栖線　田辺市中辺路町西谷(通行止)","","西牟婁建設部","一般県道 平瀬上三栖線","田辺市中辺路町西谷","田辺市上野","株式会社タイリュウ建設","","通行止","上下","2021/07/01 8:00","2022/02/08 17:00","","","","","","終日","","","","有","国道311号、上野岩田線、上富田南部線","","135.468734168283","33.7675843217359","通行止"
"一般国道 169号　新宮市熊野川町玉置口(時間制限通行止)","","新宮建設部","一般国道 169号","新宮市熊野川町玉置口","新宮市熊野川町玉置口","","","時間制限通行止","上下","2021/07/12 9:00","2021/08/06 16:30","","","","日祝除く","","時間規制","9：00～10：15、10：30～12：00、13：00～14：30、14：45～16：30","","","無","","","135.8806956111","33.8953985950952","通行止"
